View,ClubType,Distance,Carry,LrDistanceOut,DirectionAngle,SpinBack,SpinSide,SpinAxis,BallSpeed,GolferId,0-LOWER-ANGLE,0-SHOULDER-ANGLE,0-SPINE-ANGLE,0-STANCE-RATIO,0-UPPER-TILT,1-HEAD-LOC,1-HIP-LINE,1-HIP-ROTATION,1-HIP-SHIFTED,1-LEFT-ARM-ANGLE,1-RIGHT-ARM-ANGLE,1-SHOULDER-ANGLE,1-SHOULDER-LOC,1-SPINE-ANGLE,2-HEAD-LOC,2-HIP-ANGLE,2-HIP-LINE,2-HIP-ROTATION,2-HIP-SHIFTED,2-LEFT-ARM-ANGLE,2-SHOULDER-ANGLE,2-SHOULDER-LOC,2-UPPER-TILT,3-HEAD-LOC,3-HIP-ANGLE,3-HIP-LINE,3-HIP-ROTATION,3-HIP-SHIFTED,3-LEFT-LEG-ANGLE,3-RIGHT-ARM-ANGLE,3-RIGHT-DISTANCE,3-RIGHT-LEG-ANGLE,3-SHOULDER-ANGLE,3-SHOULDER-LOC,4-HEAD-LOC,4-HIP-ANGLE,4-HIP-HANGING-BACK,4-HIP-LINE,4-HIP-ROTATION,4-HIP-SHIFTED,4-RIGHT-ARM-ANGLE,4-RIGHT-ARMPIT-ANGLE,4-SHOULDER-HANGING-BACK,4-SPINE-ANGLE,5-HEAD-LOC,5-HIP-HANGING-BACK,5-HIP-LINE,5-HIP-SHIFTED,5-LEFT-ARM-ANGLE,5-LEFT-LEG-ANGLE,5-RIGHT-ARM-ANGLE,5-SHOULDER-ANGLE,5-SHOULDER-HANGING-BACK,5-SPINE-ANGLE,6-HEAD-LOC,6-HIP-ANGLE,6-HIP-LINE,6-HIP-SHIFTED,6-LEFT-ARM-ANGLE,6-RIGHT-LEG-ANGLE,6-SHOULDER-ANGLE,6-SPINE-ANGLE,6-WEIGHT-SHIFT,7-FINISH-ANGLE,7-HIP-ANGLE,7-HIP-LINE,7-HIP-SHIFTED,7-SHOULDER-ANGLE,7-SPINE-ANGLE,Spine_Instability,X_Factor_Top,Hip_Sway_Range,Hip_Sway_Std,Spine_Angle_Range,Shoulder_Rotation_Range,Head_Movement_Range,Head_Movement_Std,Weight_Shift_Impact,Hip_Hanging_Back_Max,Shoulder_Hanging_Back_Max,Left_Arm_Consistency,Injury_Risk_Score,Injury_Risk_Level
FACEON,W1,241.0,221.9,0.0,3.9,1705.0,-331.0,-10.98645025,63.0,4.0,158.78199999999998,10.08,72.676,1.5,0.62,-0.4,0.018000000000000002,3.34,-0.24,124.75,52.41,19.366,38.3,79.064,-0.5,6.220000000000001,0.11200000000000002,2.29,-0.28,168.52,16.448,51.33,0.71,-0.65,6.398000000000001,0.11200000000000002,11.73,-0.1,139.98399999999998,69.892,0.634,180.0,15.266,48.5,-0.66,12.744,0.24,0.27599999999999997,3.15,0.05,53.75599999999999,37.81,0.4,82.06200000000001,-0.97,0.18,0.11000000000000001,0.28,171.89,174.372,138.59,26.57,0.42,78.96600000000001,-0.95,13.518,0.10600000000000001,0.29,155.51,163.74,38.126,78.41,92.8,72.84,6.43,0.688,0.41,7.8,85.034,4.130758703515214,3.5359999999999996,0.69,0.27540446446566375,12.358000000000004,30.325999999999997,0.57,0.23181170519770278,92.8,0.24,0.42,21.473028625075997,0.15789585154391295,Low
FACEON,I7,137.7,119.0,0.0,3.0,1868.0,-571.0,-16.99705711,45.1,1.0,165.55599999999998,8.21,71.684,0.96,0.44,-0.22,0.026000000000000002,0.0,-0.01,108.66,155.51,21.402,-5.05,73.59400000000001,-0.37,4.764,0.08600000000000001,4.85,0.12,163.74,18.552,9.84,0.67,-0.61,5.932,0.06400000000000002,0.0,0.29,146.11600000000004,76.58800000000001,0.5860000000000001,180.0,13.459999999999999,15.51,-0.26,5.337999999999999,0.0,0.21400000000000002,9.3,0.45,74.05999999999999,34.92,0.05,83.5,-0.47,0.0,0.356,0.55,148.21,170.75,158.43,9.31,0.0,82.30799999999999,-0.462,13.906,0.298,0.692,168.516,165.638,36.416000000000004,82.19000000000001,94.61800000000001,78.622,6.564,0.584,0.826,17.418,83.19800000000001,5.305105980719581,13.459999999999999,0.836,0.30231078300948766,11.816000000000003,28.206000000000003,0.39,0.1454189350348388,94.61800000000001,0.0,0.05,27.167803168456594,0.18355097441768575,Low
FACEON,W1,204.7,189.3,0.1,-0.6,2162.0,55.0,1.457256402,57.9,5.0,163.852,10.19,71.81200000000001,1.6,0.61,-0.37,-0.028000000000000004,1.0,-0.45,168.52,141.26,17.877999999999997,51.59,75.95,-0.54,6.786,-0.02,1.99,-0.48,146.1,16.118000000000002,65.79,0.8,-0.6,5.351999999999999,0.09200000000000001,3.84,-0.58,142.8,76.934,0.6940000000000001,180.0,9.453999999999999,61.14,-0.35,5.994,0.37,0.292,3.84,-0.2,70.274,21.57,0.54,80.77,-0.35,0.23,0.29800000000000004,0.26,171.89,171.882,158.43,21.85,0.37,80.844,-0.43,13.754,0.188,0.42,165.93,180.0,36.744,78.13,90.77,74.24,7.684,0.5599999999999999,0.22,16.478,79.62,3.486231986926089,5.613999999999999,1.0,0.40987222166821463,9.031999999999982,27.29,0.25,0.10658330075579382,90.77,0.37,0.54,11.599554589149822,0.11576388414710788,Low
FACEON,I9,125.3,118.5,0.1,3.3,6442.0,-734.0,-6.500235407,45.2,3.0,157.81199999999998,12.83,60.763999999999996,1.23,0.55,-0.43,0.078,8.3,-0.79,171.89,143.13,32.646,39.33,64.798,-0.39,15.144,0.10200000000000001,13.36,-0.81,163.74,31.889999999999997,40.75,0.84,-0.37,12.437999999999999,0.186,13.56,-0.69,138.45,65.10400000000001,0.56,161.81,24.356,44.81,0.07,10.228,0.25,0.21400000000000002,8.27,0.0,56.91600000000001,48.7,0.22,66.298,0.26,0.08,0.20800000000000002,0.65,165.93,175.134,171.89,15.33,0.11,70.774,0.37,21.194,0.168,1.04,105.07,168.52,50.964000000000006,69.05199999999999,96.78,88.64,3.3199999999999994,0.562,1.12,10.39,84.08800000000001,8.03818779742466,10.796000000000001,1.9300000000000002,0.8637294549965119,23.324000000000012,40.574000000000005,0.8,0.3586874219521318,96.78,0.25,0.22,31.24868143884901,0.2743188922864434,Low
FACEON,W1,214.1,202.9,-32.1,-4.5,2393.0,-462.0,-10.92725934,59.0,5.0,171.21599999999998,17.72,77.66600000000001,2.11,0.54,-0.4,0.0020000000000000018,12.74,-0.49,180.0,180.0,20.163999999999998,49.092,76.8,-0.48,5.640000000000001,0.04,12.74,-0.36,180.0,20.29,52.59,0.75,0.0,7.536,0.10200000000000001,12.74,-0.44,153.66400000000002,83.48,0.64,171.89,12.669999999999998,51.14,0.76,5.28,0.0,0.312,177.14,0.24,66.80000000000001,14.07,0.0,79.44399999999999,0.22,0.12,0.364,0.64,180.0,174.74,152.87,27.97,0.32,83.394,0.28,10.018,0.47400000000000003,0.77,139.46,160.05,33.266,86.178,95.82,76.96,7.214,0.7140000000000001,0.53,10.318000000000001,84.24000000000001,3.8398697373739132,-0.07000000000000206,1.26,0.5463733243157187,9.378,22.947999999999997,1.24,0.4627598369204772,95.82,0.12,0.32,20.269999999999996,0.1357909095973175,Low
FACEON,W1,254.9,232.6,0.0,0.2,2202.0,-488.0,-12.49574292,63.9,4.0,163.95999999999998,11.36,75.054,1.6,0.69,-0.19,0.0020000000000000005,0.19,-0.16,168.52,43.95,20.866,26.85,76.86000000000001,-0.42,6.424000000000001,-0.04,3.6,-0.31,171.89,21.278,42.66,0.81,-0.37,9.602,0.10400000000000001,3.6,-0.1,138.69400000000002,77.314,0.63,180.0,13.886,43.99,-0.22,6.603999999999999,0.22,0.26,3.6,0.14,60.134,30.68,0.29,79.70200000000001,-0.64,0.23,0.20600000000000002,0.27,180.0,171.488,146.1,21.46,0.3,78.91600000000001,-0.64,14.84,0.362,0.28,171.89,163.74,29.586000000000002,82.55600000000001,89.69,84.78,3.3939999999999997,0.728,0.38,10.510000000000002,85.712,3.8602190611414784,10.286,0.69,0.2618160022756803,10.658000000000001,19.076,0.45,0.19592515577808448,89.69,0.23,0.3,4.882352575005891,0.08610833934151847,Low
FACEON,W1,154.0,134.1,10.1,3.6,2900.0,23.0,0.454405276,46.9,8.0,165.18400000000003,14.64,77.202,1.37,0.52,-0.09,0.05600000000000001,4.47,-0.17,161.81,158.43,23.632,40.1,79.142,-0.45,10.511999999999999,0.07999999999999999,174.39,-0.11,123.37,19.018,4.23,0.65,-0.64,8.51,0.10400000000000001,174.05,-0.35,145.294,61.854,0.616,165.93,13.517999999999997,-7.48,-0.53,10.14,0.41,0.22000000000000003,4.47,-0.34,48.849999999999994,47.16,0.55,76.596,-0.5,0.33,0.16599999999999998,-0.06,137.73,173.496,118.69,18.2,0.41,78.85,-0.08,17.738,0.2,-0.02,147.14,168.52,31.397999999999996,77.4,88.81,88.97,3.528,0.6159999999999999,0.54,10.745999999999999,83.226,2.4106258108632272,-160.532,0.89,0.2993166821119,6.6299999999999955,20.651999999999997,0.56,0.23811061855084636,88.81,0.41,0.55,16.156679475271726,0.09239102649178287,Low
FACEON,W1,187.8,164.9,-9.7,-1.8,2551.0,-220.0,-4.929031877,55.5,6.0,163.992,11.99,73.294,1.95,0.65,0.04,0.18,4.44,-0.3,168.52,140.35,17.839999999999996,41.75,76.844,-0.26,5.19,0.198,5.71,-0.38,142.19,17.926,55.4,0.82,-0.42,5.764,0.16399999999999998,0.0,-0.52,148.418,60.34400000000001,0.6559999999999999,171.89,12.840000000000003,55.44,-0.14,6.08,0.44,0.21800000000000003,0.0,-0.29,50.83800000000001,33.9,0.47,77.684,-0.48,0.3,0.276,0.13,180.0,169.86599999999999,138.59,24.78,0.45,79.75999999999999,-0.62,14.482,0.366,0.1,130.54,155.51,30.310000000000002,81.28,84.99,66.13,8.808,0.642,0.06,8.516000000000002,82.408,3.319245155151998,12.840000000000003,0.65,0.2625787863625298,9.114000000000004,21.794,0.66,0.24121912583098934,84.99,0.44,0.47,22.874931511737188,0.1256509289151001,Low
FACEON,W1,212.6,198.9,-4.9,-2.2,3311.0,144.0,2.490303879,61.0,5.0,160.696,15.28,67.346,1.91,0.68,0.02,-0.015999999999999997,11.95,-0.21,171.89,154.16,17.27,47.43,76.124,-0.01,3.65,0.011999999999999999,16.4,-0.24,180.0,14.874,57.14,0.73,0.55,6.204,0.048,12.86,-0.33,144.336,69.21600000000001,0.6699999999999999,171.89,19.232,72.48,0.61,11.989999999999998,0.29,0.278,11.39,0.04,61.92,43.11,0.32,79.478,0.47,0.21,0.31399999999999995,0.35,155.51,167.546,137.73,16.88,0.29,82.672,0.46,13.422000000000002,0.282,0.56,152.87,171.89,32.001999999999995,80.69999999999999,91.33,69.12,9.028,0.5740000000000001,0.53,9.399999999999999,82.078,5.743393480048763,6.372,0.8900000000000001,0.37841775856849,15.325999999999993,22.601999999999997,0.62,0.27298351598585585,91.33,0.29,0.32,13.033941268856475,0.1459701766727526,Low
FACEON,W1,143.9,123.0,2.4,1.0,3117.0,-11.0,-0.202197933,46.4,8.0,163.82600000000002,11.17,66.102,1.44,0.6,-0.08,0.030000000000000006,8.87,-0.11,171.89,180.0,29.008,32.17,70.23200000000001,0.22,13.8,0.118,179.68,-0.08,156.93,27.362000000000002,17.52,0.68,-0.42,10.870000000000001,0.124,4.4,-0.44,149.048,74.864,0.5599999999999999,180.0,20.708,42.98,-0.21,11.352,0.39,0.142,4.4,-0.26,42.534,35.9,0.43,68.10799999999999,-0.1,0.28,0.04,0.08,146.1,168.516,124.06,18.43,0.28,67.546,0.12,14.472,0.082,-0.01,146.1,171.89,47.208000000000006,69.092,88.5,88.87,7.752000000000001,0.41600000000000004,0.71,16.683999999999997,83.15800000000002,6.2580187812651005,16.308,1.15,0.3625307868699863,17.05600000000001,36.038000000000004,0.64,0.22929602409694474,88.5,0.39,0.43,12.208697719249171,0.18846283456496205,Low
