video_id,video_path,file_name,environment,band,view,duration,fps,resolution,aspect_ratio,file_size_mb,noise_level,pose_path,num_frames_pose,pose_dim
1,Public Test_\Ngoài trời - Outdoor\Band 1-2\Backside-8897-2.mov,Backside-8897-2.mov,Ngoài trời - Outdoor,band_1-2,backview,7.433333333333334,30.0,"(720, 1280)",0.56,9.32,1001.4699011289413,dataset_pose\Ngoài trời - Outdoor\band_1_2\1.npy,223,"(223, 33, 4)"
2,Public Test_\Ngoài trời - Outdoor\Band 1-2\Backside-8900-11.mov,Backside-8900-11.mov,Ngoài trời - Outdoor,band_1-2,backview,7.1,30.0,"(720, 1280)",0.56,9.38,884.5848608954627,dataset_pose\Ngoài trời - Outdoor\band_1_2\2.npy,213,"(213, 33, 4)"
3,Public Test_\Ngoài trời - Outdoor\Band 1-2\Side-6088-2.mov,Side-6088-2.mov,Ngoài trời - Outdoor,band_1-2,side,6.333333333333333,30.0,"(720, 1280)",0.56,7.08,1113.8828732220613,dataset_pose\Ngoài trời - Outdoor\band_1_2\3.npy,190,"(190, 33, 4)"
4,Public Test_\Ngoài trời - Outdoor\Band 1-2\Side-6089-1.mov,Side-6089-1.mov,Ngoài trời - Outdoor,band_1-2,side,7.466666666666667,30.0,"(720, 1280)",0.56,10.25,1877.8453288596447,dataset_pose\Ngoài trời - Outdoor\band_1_2\4.npy,224,"(224, 33, 4)"
5,Public Test_\Ngoài trời - Outdoor\Band 2-4\Backside-8900-8.mov,Backside-8900-8.mov,Ngoài trời - Outdoor,band_2-4,backview,7.733333333333333,30.0,"(720, 1280)",0.56,10.16,889.4703218082292,dataset_pose\Ngoài trời - Outdoor\band_2_4\5.npy,232,"(232, 33, 4)"
6,Public Test_\Ngoài trời - Outdoor\Band 2-4\Backside-8900-9.mov,Backside-8900-9.mov,Ngoài trời - Outdoor,band_2-4,backview,7.5,30.0,"(720, 1280)",0.56,9.81,882.5224586462266,dataset_pose\Ngoài trời - Outdoor\band_2_4\6.npy,225,"(225, 33, 4)"
7,Public Test_\Ngoài trời - Outdoor\Band 2-4\Side-6086-8.mov,Side-6086-8.mov,Ngoài trời - Outdoor,band_2-4,side,6.9,30.0,"(720, 1280)",0.56,8.29,1375.6293050249694,dataset_pose\Ngoài trời - Outdoor\band_2_4\7.npy,207,"(207, 33, 4)"
8,Public Test_\Ngoài trời - Outdoor\Band 2-4\Side-6086-9.mov,Side-6086-9.mov,Ngoài trời - Outdoor,band_2-4,side,5.566666666666666,30.0,"(720, 1280)",0.56,6.94,1262.3018969302095,dataset_pose\Ngoài trời - Outdoor\band_2_4\8.npy,167,"(167, 33, 4)"
9,Public Test_\Ngoài trời - Outdoor\Band 4-6\Backside-8896-22.mov,Backside-8896-22.mov,Ngoài trời - Outdoor,band_4-6,backview,7.266666666666667,30.0,"(720, 1280)",0.56,9.66,753.700592425943,dataset_pose\Ngoài trời - Outdoor\band_4_6\9.npy,218,"(218, 33, 4)"
10,Public Test_\Ngoài trời - Outdoor\Band 4-6\Backside-8896-23.mov,Backside-8896-23.mov,Ngoài trời - Outdoor,band_4-6,backview,7.166666666666667,30.0,"(720, 1280)",0.56,8.75,1174.0897795156013,dataset_pose\Ngoài trời - Outdoor\band_4_6\10.npy,215,"(215, 33, 4)"
